ファイル名,書類種別,受領会社,発行会社,取引日,取引金額(帳票単位),伝票番号,消費税(計),取引金額(税込8%),取引金額(税込10%),消費税(8%),消費税(10%),支払先,支払方法,支払期日,支払金額,振込先口座(金融機関・支店),口座番号,契約締結日,契約終了日(契約更新日),受領会社電話番号,受領会社郵便番号,受領会社住所,発行会社電話番号,発行会社郵便番号,発行会社住所
receipt_1298.jpg,請求書,-,名古屋近鉄タクシー株式会社,2024/11/05,1580,8389,-,-,1580,-,158,名古屋近鉄タクシー株式会社,-,-,1580,-,-,-,-,-,-,-,0522314510,-,名古屋市中区栄一丁目15番3号
receipt_1088.pdf,請求書,佐藤丈一郎,Google Asia Pacific Pte. Ltd.,2024/08/29,1179,9391328831128034-1,107,-,1179,-,107,Google Asia Pacific Pte. Ltd.,-,-,1179,-,-,-,-,-,-,-,-,117371,"70 Pasir Panjang Road, #03-71 Mapletree Business City Tax Invoice Singapore"
receipt_1146.jpg,請求書,株式会社neoAI,株式会社ドン・キホーテ,2024/09/25,877,-,79,-,877,-,79,株式会社ドン・キホーテ,-,-,877,-,-,-,-,-,-,-,-,-,東京都目黒区青葉台2-19-10
receipt_727.png,請求書,株式会社neoAI,株式会社 ビジョン,2024/06/19,8734,zwr202405160562,794,-,8734,-,794,株式会社 ビジョン,クレジットカード,-,8734,-,-,-,-,-,-,-,-,160-0022,東京都新宿区新宿6丁目2-27-30新宿イーストサイドスクエア8F
receipt_977.pdf,請求書,若井琢朗,株式会社Rebase,2024/07/23,1586,R-RBTACY0929518,144,-,1586,-,144,株式会社Rebase,クレジットカード,-,1586,-,-,-,-,-,-,-,-,-,-
receipt_1290.pdf,請求書,生川聖也,Google Asia Pacific Pte. Ltd.,2024/10/20,5767,6817523001621655-3,524,-,5767,-,524,Google Asia Pacific Pte. Ltd.,-,-,5767,-,-,-,-,-,300-1525,-,-,117371,"70 Pasir Panjang Road, #03-71, Mapletree Business City, Singapore"
receipt_519.png,請求書,橋本一優,Amazon.co.jp,2024/04/06,9607,250-4562278-0533443,-,-,9607,-,-,Amazon.co.jp,クレジットカード,-,9607,-,-,-,-,-,113-0033,東京都 文京区本郷 1-28-10 本郷TKビル 502号室,-,-,-
receipt_1144.jpg,請求書,株式会社neoAI,株式会社ヒロエンタープライズ,2024/08/29,3300,-,300,-,-,-,300,株式会社ヒロエンタープライズ,-,-,3300,-,-,-,-,-,-,-,0364335377,-,東京都渋谷区渋谷1-8-5 グローリア宮益坂102
receipt_850.jpg,請求書,-,LAWSON,2024/07/16,864,-,64,864,-,64,-,LAWSON,クレジットカード,-,864,-,-,-,-,-,-,-,0338140600,-,東京都文京区本郷1-29-10
receipt_1260.pdf,請求書,株式会社neoAI,楽天グループ株式会社,2024/11/05,7900,-,790,-,7900,-,790,楽天グループ株式会社,クレジットカード,-,7900,-,-,-,-,-,-,-,-,158-0094,東京都世田谷区玉川1-14-1
receipt_1266.pdf,請求書,株式会社neoAl,東海旅客鉄道株式会社,2024/11/04,11300,31020084,-,-,11300,-,-,東海旅客鉄道株式会社,クレジットカード,-,11300,-,-,-,-,-,-,-,-,-,-
receipt_1299.jpg,請求書,-,日日交通株式会社,2024/10/13,4500,001755,450,-,4500,-,450,日日交通株式会社,指定なし,-,4500,-,-,-,-,-,-,-,0338503336,-,東京都足立区保木間1-32
receipt_1293.pdf,請求書,TAKURO WAKAI,Google Asia Pacific Pte. Ltd.,2024/10/10,5767,819716829967222-10,524,-,5767,-,524,Google Asia Pacific Pte. Ltd.,-,2024/11/10,5767,-,-,-,-,-,176-0004,"小竹町2丁目14−3 グランオーロ 101号室 練馬区,東京都176-0004 Japan",-,117371,"70 Pasir Panjang Road, #03-71 Mapletree Business City Singapore"
receipt_1295.png,請求書,株式会社neoAI,京成電鉄株式会社,2024/10/04,2600,259172,236,-,2600,-,236,京成電鉄株式会社,クレジットカード,-,2600,-,-,-,-,-,-,-,-,-,-
receipt_1305.jpg,請求書,株式会社 neoAI,日本郵便株式会社,2024/11/13,4300,241113J5960,0,-,4300,-,0,日本郵便株式会社,-,-,4300,-,-,-,-,-,-,-,0338129792,100-8792,東京都千代田区大手町2-3-1
receipt_1286.jpg,請求書,山田太郎,医療法人財団順和会 山王メディカルセンター,2024/11/08,100100,000034,9100,-,100100,-,9100,医療法人財団順和会 山王メディカルセンター,指定なし,-,100100,-,-,-,-,-,-,-,0340225581,107-0052,東京都港区赤坂八丁目5番35号
neoAI様ご請求書_PC建て替え費用_202408_v2.pdf,請求書,株式会社neoAI,freecracy株式会社,-,112335,-,0,-,112335,0,0,freecracy株式会社,銀行振込,2024/09/30,112335,三井住友銀行 日本橋支店,8522887,-,-,-,-,-,-,105-0013,東京都港区浜松町2丁目2番15号
請求書_警備カード追加発行.pdf,請求書,株式会社neoAI,東熱ビルディング株式会社,2024/09/12,11000,-,1000,-,11000,-,1000,東熱ビルディング株式会社,銀行振込,2024/10/31,11000,三菱UFJ銀行 三軒茶屋支店,0159859,2024/09/12,-,-,113-0033,東京都文京区本郷1-28-10本郷TKビル5FB,0343531744,-,東京都港区芝4-4-5三田KMビル5階
index.pdf,請求書,株式会社neoAI,freecracy株式会社,-,535040,-,48640,-,535040,-,48640,freecracy株式会社,銀行振込,2024/09/30,535040,三井住友銀行 日本橋支店,8522887,-,-,-,-,-,-,105-0013,東京都港区浜松町2丁目2番15号
20550本郷TKテナント請求書202409-05.pdf,請求書,株式会社neoAI,サンフロンティア不動産株式会社,2024/09/10,1199774,000000502192,109070,-,1199774,-,109070,サンフロンティア不動産株式会社,銀行振込,2024/09/30,1199774,みずほ三号,2807183,2024/09/10,-,-,113-0033,東京都文京区本郷一丁目28番10号本郷TKビル5階502号室,0355211340,100-0006,東京都千代田区有楽町1-5-2
株式会社neoAI_請求書_請求書_INV-0000020114.pdf,請求書,株式会社neoAI,株式会社アトラエ,2024/07/19,750000,INV-0000020114,75000,-,825000,-,75000,株式会社アトラエ,銀行振込,2024/08/31,825000,三井住友銀行 六本木支店,7562716,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル 5階502号室,-,106-0045,東京都港区麻布十番1−10−10ジュールA 8F
20240910_20240900606_B53033002_(株)neoAI様顧問業務遂行にかかる費用2024年8月(旅費交通費 岡隆史氏分).pdf,請求書,株式会社neoAI,株式会社顧問名鑑,2024/09/10,4590,20240900606,417,-,4590,-,417,株式会社顧問名鑑,銀行振込,2024/09/30,4590,三菱UFJ銀行 銀座支店,0169111,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル 5階502号室,0332756666,-,東京都中央区京橋三丁目1番1号
2024-C-12250_株式会社neoAI御中_20240903170208.pdf,請求書,株式会社neoAI,弁護士法人内田・鮫島法律事務所,2024/09/02,55000,No.2024-C-12250,5000,-,55000,0,5000,弁護士法人内田・鮫島法律事務所,銀行振込,-,55000,三井住友銀行首都圏支店,7331244,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル5階502号室,0355613128,105-0001,東京都港区虎ノ門二丁目10番1号 虎ノ門ツインビルディング 東棟16階
4465.pdf,請求書,株式会社neoAI,株式会社アールイーデザイン,2024/08/31,426250,Re-04465,38750,-,426250,-,38750,株式会社アールイーデザイン,銀行振込,-,426250,栃木銀行黒磯西支店,1007372,-,-,-,113-0033,東京都文京区本郷1-28-10本郷TKビル 5階502号室,0287696283,329-3133,栃木県那須塩原市沓掛1-11-6
株式会社neoAI御中_業務支援料_請求書_INV-K-202408075.pdf,請求書,株式会社neoAI,株式会社ロッキングホース,2024/09/02,110000,INV-K-202408075,10000,-,110000,-,10000,株式会社ロッキングホース,銀行振込,2024/09/30,110000,みずほ銀行 平塚支店,2658131,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル 5階502号室,-,255-0003,神奈川県中郡大磯町大磯370-6
請求書_240828_313500_税理士法人　ファーストライン_1283.pdf,請求書,株式会社neoAI,税理士法人 ファーストライン,2024/08/21,313500,-,28500,-,313500,-,28500,税理士法人 ファーストライン,口座振替,2024/08/28,313500,三井住友銀行 上野支店,-,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル 5階502,0358299612,103-0004,東京都中央区東日本橋1-3-10六波羅ビル2階
13-30 neoAI様 御請求書.pdf,請求書,株式会社neoAI,株式会社鈴木電機,2024/05/24,26400,26045,2400,-,26400,-,2400,株式会社鈴木電機,銀行振込,2024/06/30,26400,三井住友銀行 中央支店,6995866,-,-,-,-,-,0338428201,111-0033,東京都台東区花川戸2-12-5
1097623_20240800587_B53033002_(株)neoAI様明細2024年07月分.pdf,請求書,株式会社neoAI,-,2024/07/05,712,-,-,-,712,-,-,-,-,-,712,-,-,-,-,,,,,,
20240809_20240800587_B53033002_(株)neoAI様顧問業務遂行にかかる費用2024年7月(旅費交通費 岡隆史氏分).pdf,請求書,株式会社neoAI,株式会社顧問名鑑,2024/08/09,712,20240800587,65,-,712,-,65,株式会社顧問名鑑,銀行振込,2024/08/31,712,三菱UFJ銀行 銀座支店,0169111,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル 5F502,0332756666,-,東京都中央区京橋三丁目1番1号
20550本郷ＴＫテナント請求書202408-05.pdf,請求書,株式会社neoAI,サンフロンティア不動産株式会社,2024/08/10,1217443,000000494788,110676,-,1217443,-,110676,サンフロンティア不動産株式会社,銀行振込,2024/08/30,1217443,みずほ三号,2807183,-,-,-,113-0033,東京都文京区本郷一丁目28番10号 本郷TKビル 5階502号室,0355211340,100-0006,東京都千代田区有楽町1-5-2
2024-C-11050_株式会社neoAI御中_20240808114318.pdf,請求書,株式会社neoAI,弁護士法人内田・鮫島法律事務所,2024/08/01,55000,No.2024-C-11050,5000,-,55000,0,5000,弁護士法人内田・鮫島法律事務所,銀行振込,2024/08/30,55000,三井住友銀行首都圏支店,7331244,-,-,0355613128,113-0033,東京都文京区本郷1-28-10 本郷TKビル5階502号室,0355613128,105-0001,東京都港区虎ノ門二丁目10番1号 虎ノ門ツインビルディング 東棟16階
177請求書㈱neoAI様.pdf,請求書,株式会社neoAI,“よい仕事おこし”フェア実行委員会,2024/08/07,110000,-,10000,-,110000,-,10000,“よい仕事おこし”フェア実行委員会,銀行振込,2024/08/21,110000,城南信用金庫 営業部本店,878962,-,-,-,-,-,0334938130,141-8710,東京都品川区西五反田7-2-3
2024年7月度リード獲得支援請求書.pdf,請求書,株式会社neoAI,株式会社アイスマイリー,2024/07/31,217800,9634,19800,-,217800,-,19800,株式会社アイスマイリー,銀行振込,2024/08/30,217800,りそな銀行池袋支店,5338594,-,-,-,113-0033,東京都文京区本郷6丁目25-14宗文館ビル3階,0364524750,150-0021,東京都渋谷区恵比寿西1-20-2 西武信用金庫恵比寿ビル9F
株式会社neoAI御中_業務支援料_請求書_INV-K-202408024.pdf,請求書,株式会社neoAI,株式会社ロッキングホース,2024/08/01,110000,INV-K-202408024,10000,-,110000,-,10000,株式会社ロッキングホース,銀行振込,2024/08/30,110000,みずほ銀行 平塚支店,2658131,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル 5階502号室,-,255-0003,神奈川県中郡大磯町大磯370‐6
4433.pdf,請求書,株式会社neoAI,株式会社アールイーデザイン,2024/07/31,854150,Re-04433,77650,-,854150,-,77650,株式会社アールイーデザイン,銀行振込,-,854150,栃木銀行黒磯西支店,1007372,-,-,0287696283,-,-,0287696283,329-3133,栃木県那須塩原市沓掛1-11-6
【IAC】請求書20240731.pdf,請求書,株式会社 neoAl,株式会社IACコーポレーション,2024/07/31,478500,INV-0000000002,43500,-,478500,-,43500,株式会社IACコーポレーション,銀行振込,2024/08/31,478500,三井住友銀行 自由が丘支店,7414328,-,-,-,113-0033,東京都文京区本郷1-28-10 本郷TKビル5階,-,145-0076,東京都大田区田園調布南8番1-102号
2024年6月度リード獲得支援請求書.pdf,請求書,株式会社neoAI,株式会社アイスマイリー,2024/06/30,231000,9378,21000,-,231000,-,21000,株式会社アイスマイリー,銀行振込,2024/07/31,231000,りそな銀行池袋支店,5338594,2024/06/30,-,-,113-0033,東京都文京区本郷6丁目25-14宗文館ビル3階,0364524750,150-0021,東京都渋谷区恵比寿西1-20-2 西武信用金庫恵比寿ビル9F
株式会社neoAI御中_請求書_INV-0000003075.pdf,請求書,株式会社neoAI,SOICO株式会社,2024/07/01,275000,INV‐0000003075,25000,-,275000,-,25000,SOICO株式会社,銀行振込,2024/07/31,275000,三菱UFJ銀行虎ノ門支店,0891657,2024/07/01,-,-,-,-,0344007639,106-0031,東京都港区西麻布三丁目3番23号 フィルドア西麻布2階
